School Name,School Code,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,year,Nonbinary,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Economically Disadvantaged#,Economically Disadvantaged%,Students with Disabilities#,Students with Disabilities%,Low Income#,Low Income%,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   0.1,   4.0,  48.5,  22.0,   2.3,   0.1,  22.9,  52.7,  47.3,2017,,     751,  52.7,     137,   9.6,     913,  64.1,     568,  39.9,     171,  12.0,,,90,79,87.8,0,24.1,19,57,19,31.6,16.5,        82,    97.6,     0.0,     0.0,     1.2,     1.2,     0.0,     119,536,,526
Abington - Abington High,00010505,   0.2,   1.5,   2.2,   9.1,   0.9,   0.2,  85.8,  54.4,  45.6,2017,,     155,  29.8,      18,   3.5,      37,   7.1,     108,  20.8,      51,   9.8,,,121,85,70.2,0,31.8,15.3,52.9,15.3,21.2,9.4,        97,    94.8,     2.1,     0.0,     0.0,     3.1,     0.0,     138,550,,536
Abington - Beaver Brook Elementary School,00010003,   0.5,   1.9,   1.9,   6.7,   0.3,   0.2,  88.4,  49.8,  50.2,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington - Center Elementary School,00010002,   0.0,   3.0,   3.9,   8.4,   0.0,   0.0,  84.7,  45.8,  54.2,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington - Frolio Middle School,00010405,   0.0,   1.8,   2.4,   6.1,   0.3,   0.0,  89.3,  46.6,  53.4,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington - Woodsdale Elementary School,00010015,   0.0,   1.4,   2.0,   4.2,   0.3,   0.0,  92.1,  49.3,  50.7,2017,,     123,  38.6,      28,   8.8,      41,  12.9,      89,  27.9,      37,  11.6,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,   0.0,   0.9,  58.1,  27.3,   3.0,   0.2,  10.4,  52.6,  47.4,2017,,     333,  63.5,      63,  12.0,     150,  28.6,     207,  39.5,     137,  26.1,,,37,33,89.2,0,48.5,0,51.5,0,24.2,27.3,        47,    93.6,     2.1,     0.0,     2.1,     2.1,     0.0,       2,,,
Acton-Boxborough - Acton-Boxborough Regional High,06000505,   0.2,  28.2,   1.5,   3.4,   3.7,   0.0,  63.0,  49.4,  50.6,2017,,     271,  14.8,      14,   0.8,     288,  15.8,      87,   4.8,     179,   9.8,,,444,402,90.5,0,45.5,7,47.5,6.5,3.2,15.2,       467,    97.4,     0.9,     0.0,     0.0,     1.7,     0.0,     419,656,,684
Acton-Boxborough - Blanchard Memorial School,06000005,   0.5,  33.2,   1.7,   3.1,   2.9,   0.0,  58.6,  48.2,  51.8,2017,,     126,  28.2,      18,   4.0,      58,  13.0,      22,   4.9,      85,  19.0,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough - C.T. Douglas Elementary School,06000020,   0.2,  24.3,   0.2,   3.3,   6.1,   0.0,  65.8,  48.0,  52.0,2017,,     115,  26.9,      26,   6.1,      89,  20.8,      23,   5.4,      66,  15.5,,,,,,,,,,,,,,,,,,,,,,,
